checklist_id,source_scan,source_set,repo,ref,file,class_id,predicted_detect,current_label,label_confidence,label_rationale,blob_url,manual_verdict,manual_notes,manual_reviewer,manual_reviewed_at
LOWPROF-20260308-017,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,cavos-labs/argus,5373340688bc77f3780dc973d8984fd541228831,contracts/src/argus.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,tp,medium,Critical address appears to initialize privileged state without explicit non-zero guard.,https://github.com/cavos-labs/argus/blob/5373340688bc77f3780dc973d8984fd541228831/contracts/src/argus.cairo,,,,
LOWPROF-20260308-018,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,cavos-labs/argus,5373340688bc77f3780dc973d8984fd541228831,contracts/src/argus.cairo,IMMEDIATE_UPGRADE_WITHOUT_TIMELOCK,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/cavos-labs/argus/blob/5373340688bc77f3780dc973d8984fd541228831/contracts/src/argus.cairo,,,,
LOWPROF-20260308-019,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,cavos-labs/argus,5373340688bc77f3780dc973d8984fd541228831,contracts/src/argus.cairo,UPGRADE_CLASS_HASH_WITHOUT_NONZERO_GUARD,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/cavos-labs/argus/blob/5373340688bc77f3780dc973d8984fd541228831/contracts/src/argus.cairo,,,,
LOWPROF-20260308-020,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,cavos-labs/argus,5373340688bc77f3780dc973d8984fd541228831,contracts/src/jwks_registry.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,tp,medium,Critical address appears to initialize privileged state without explicit non-zero guard.,https://github.com/cavos-labs/argus/blob/5373340688bc77f3780dc973d8984fd541228831/contracts/src/jwks_registry.cairo,,,,
LOWPROF-20260308-021,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,fatlabsxyz/tongo,1e201d9ffbfedee607dda92f709967362f302ead,packages/contracts/src/tongo/Tongo.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,tp,medium,Critical address appears to initialize privileged state without explicit non-zero guard.,https://github.com/fatlabsxyz/tongo/blob/1e201d9ffbfedee607dda92f709967362f302ead/packages/contracts/src/tongo/Tongo.cairo,,,,
LOWPROF-20260308-001,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault/src/redeem_request/redeem_request.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,tp,medium,Critical address appears to initialize privileged state without explicit non-zero guard.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault/src/redeem_request/redeem_request.cairo,,,,
LOWPROF-20260308-002,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault/src/redeem_request/redeem_request.cairo,IMMEDIATE_UPGRADE_WITHOUT_TIMELOCK,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault/src/redeem_request/redeem_request.cairo,,,,
LOWPROF-20260308-003,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault/src/redeem_request/redeem_request.cairo,UPGRADE_CLASS_HASH_WITHOUT_NONZERO_GUARD,false,fp,high,False positive: OpenZeppelin UpgradeableComponent enforces non-zero class hash in internal upgrade implementation.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault/src/redeem_request/redeem_request.cairo,,,,
LOWPROF-20260308-004,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault/src/vault/vault.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,tp,medium,Critical address appears to initialize privileged state without explicit non-zero guard.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault/src/vault/vault.cairo,,,,
LOWPROF-20260308-005,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault/src/vault/vault.cairo,IMMEDIATE_UPGRADE_WITHOUT_TIMELOCK,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault/src/vault/vault.cairo,,,,
LOWPROF-20260308-006,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault/src/vault/vault.cairo,UPGRADE_CLASS_HASH_WITHOUT_NONZERO_GUARD,false,fp,high,False positive: OpenZeppelin UpgradeableComponent enforces non-zero class hash in internal upgrade implementation.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault/src/vault/vault.cairo,,,,
LOWPROF-20260308-007,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/adapters/ekubo_adapter/ekubo_adapter.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,fp,medium,Likely contextual constructor pattern where zero-sentinel or deferred init may be intentional.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/adapters/ekubo_adapter/ekubo_adapter.cairo,,,,
LOWPROF-20260308-008,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/adapters/ekubo_adapter/ekubo_adapter.cairo,IMMEDIATE_UPGRADE_WITHOUT_TIMELOCK,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/adapters/ekubo_adapter/ekubo_adapter.cairo,,,,
LOWPROF-20260308-009,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/adapters/ekubo_adapter/ekubo_adapter.cairo,UPGRADE_CLASS_HASH_WITHOUT_NONZERO_GUARD,false,fp,high,False positive: OpenZeppelin UpgradeableComponent enforces non-zero class hash in internal upgrade implementation.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/adapters/ekubo_adapter/ekubo_adapter.cairo,,,,
LOWPROF-20260308-010,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/manager/manager.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,tp,medium,Critical address appears to initialize privileged state without explicit non-zero guard.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/manager/manager.cairo,,,,
LOWPROF-20260308-011,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/manager/manager.cairo,IMMEDIATE_UPGRADE_WITHOUT_TIMELOCK,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/manager/manager.cairo,,,,
LOWPROF-20260308-012,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/manager/manager.cairo,UPGRADE_CLASS_HASH_WITHOUT_NONZERO_GUARD,false,fp,high,False positive: OpenZeppelin UpgradeableComponent enforces non-zero class hash in internal upgrade implementation.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/manager/manager.cairo,,,,
LOWPROF-20260308-013,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/vault_allocator/vault_allocator.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,tp,medium,Critical address appears to initialize privileged state without explicit non-zero guard.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/vault_allocator/vault_allocator.cairo,,,,
LOWPROF-20260308-014,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/vault_allocator/vault_allocator.cairo,IMMEDIATE_UPGRADE_WITHOUT_TIMELOCK,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/vault_allocator/vault_allocator.cairo,,,,
LOWPROF-20260308-015,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,ForgeYields/starknet_vault_kit,babfc20931cb7ba16a86fae0157634026732dcb6,packages/vault_allocator/src/vault_allocator/vault_allocator.cairo,UPGRADE_CLASS_HASH_WITHOUT_NONZERO_GUARD,false,fp,high,False positive: OpenZeppelin UpgradeableComponent enforces non-zero class hash in internal upgrade implementation.,https://github.com/ForgeYields/starknet_vault_kit/blob/babfc20931cb7ba16a86fae0157634026732dcb6/packages/vault_allocator/src/vault_allocator/vault_allocator.cairo,,,,
LOWPROF-20260308-022,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,kiroshi-market/kiroshi-protocol,40d1ba6e1648033ea86421a779298493819cdb96,contracts/main/src/markets/factory.cairo,IMMEDIATE_UPGRADE_WITHOUT_TIMELOCK,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/kiroshi-market/kiroshi-protocol/blob/40d1ba6e1648033ea86421a779298493819cdb96/contracts/main/src/markets/factory.cairo,,,,
LOWPROF-20260308-023,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,kiroshi-market/kiroshi-protocol,40d1ba6e1648033ea86421a779298493819cdb96,contracts/main/src/markets/factory.cairo,UPGRADE_CLASS_HASH_WITHOUT_NONZERO_GUARD,false,fp,high,False positive: OpenZeppelin UpgradeableComponent enforces non-zero class hash in internal upgrade implementation.,https://github.com/kiroshi-market/kiroshi-protocol/blob/40d1ba6e1648033ea86421a779298493819cdb96/contracts/main/src/markets/factory.cairo,,,,
LOWPROF-20260308-024,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,medialane-io/medialane-contracts,aba0fcc775e1e64aad095b902b0fe493b620711b,contracts/Medialane-Protocol/src/core/medialane.cairo,CRITICAL_ADDRESS_INIT_WITHOUT_NONZERO_GUARD,true,tp,medium,Critical address appears to initialize privileged state without explicit non-zero guard.,https://github.com/medialane-io/medialane-contracts/blob/aba0fcc775e1e64aad095b902b0fe493b620711b/contracts/Medialane-Protocol/src/core/medialane.cairo,,,,
LOWPROF-20260308-025,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,medialane-io/medialane-contracts,aba0fcc775e1e64aad095b902b0fe493b620711b,contracts/Medialane-Protocol/src/core/medialane.cairo,IMMEDIATE_UPGRADE_WITHOUT_TIMELOCK,true,tp,high,Direct upgrade path without explicit timelock/non-zero guard in same execution path.,https://github.com/medialane-io/medialane-contracts/blob/aba0fcc775e1e64aad095b902b0fe493b620711b/contracts/Medialane-Protocol/src/core/medialane.cairo,,,,
LOWPROF-20260308-026,external-repo-scan-low-profile-2026-03-08-v2,low_profile_expanded_v2,medialane-io/medialane-contracts,aba0fcc775e1e64aad095b902b0fe493b620711b,contracts/Medialane-Protocol/src/core/medialane.cairo,UPGRADE_CLASS_HASH_WITHOUT_NONZERO_GUARD,false,fp,high,False positive: OpenZeppelin UpgradeableComponent enforces non-zero class hash in internal upgrade implementation.,https://github.com/medialane-io/medialane-contracts/blob/aba0fcc775e1e64aad095b902b0fe493b620711b/contracts/Medialane-Protocol/src/core/medialane.cairo,,,,
